date,5. volume,2. high,4. close,3. low,1. open,ticker
2016-06-15,2459445.0,13.12,12.92,12.62,12.62,DDD
2016-06-16,1968822.0,12.92,12.8,12.35,12.84,DDD
2016-06-17,3174438.0,13.72,13.2,12.83,12.83,DDD
2016-06-20,2653772.0,13.79,13.47,13.35,13.38,DDD
2016-06-21,2638885.0,13.7,13.6,13.385,13.5,DDD
2016-06-22,2482091.0,13.82,13.26,13.23,13.6,DDD
2016-06-23,3171052.0,14.1695,13.92,13.31,13.4,DDD
2016-06-24,13237799.0,13.65,12.95,12.79,13.05,DDD
2016-06-27,4176332.0,12.75,11.67,11.59,12.71,DDD
2016-06-28,2653952.0,12.44,12.33,11.82,12.11,DDD
2016-06-29,2845969.0,12.94,12.88,12.43,12.51,DDD
2016-06-30,4022478.0,13.83,13.69,12.82,12.85,DDD
2016-07-01,3248552.0,13.83,13.41,13.23,13.49,DDD
2016-07-05,3174042.0,13.39,13.22,12.85,13.22,DDD
2016-07-06,3146230.0,13.36,13.19,12.64,12.85,DDD
2016-07-07,2880860.0,13.735,13.46,13.22,13.25,DDD
2016-07-08,3341442.0,14.165,14.12,13.57,13.66,DDD
2016-07-11,3631155.0,14.4697,13.69,13.69,14.23,DDD
2016-07-12,3954126.0,14.79,14.69,13.91,14.0,DDD
2016-07-13,3605277.0,15.17,14.62,14.43,14.6,DDD
2016-07-14,3103417.0,15.18,14.74,14.73,14.76,DDD
2016-07-15,2064812.0,14.9589,14.71,14.44,14.8,DDD
2016-07-18,7846718.0,13.9,13.48,12.73,13.9,DDD
2016-07-19,2313603.0,13.66,13.4,13.2,13.36,DDD
2016-07-20,2237697.0,13.49,13.39,13.16,13.4,DDD
2016-07-21,2755869.0,13.545,13.34,13.2,13.21,DDD
2016-07-22,2923817.0,13.44,13.3,12.915,13.27,DDD
2016-07-25,3358785.0,13.5,13.04,13.0,13.22,DDD
2016-07-26,2299156.0,13.3,13.25,12.81,12.99,DDD
2016-07-27,2052562.0,13.355,13.25,13.011,13.31,DDD
2016-07-28,2250649.0,13.35,13.12,13.01,13.16,DDD
2016-07-29,2455361.0,13.5,13.39,12.88,13.06,DDD
2016-08-01,4018049.0,13.53,12.71,12.461,13.46,DDD
2016-08-02,4543422.0,12.749,12.18,11.98,12.63,DDD
2016-08-03,11218523.0,14.8,14.35,12.772,13.0,DDD
2016-08-04,5470277.0,14.79,14.26,14.09,14.5,DDD
2016-08-05,3811826.0,15.04,14.77,14.28,14.35,DDD
2016-08-08,5850389.0,15.93,15.36,14.72,14.89,DDD
2016-08-09,2644187.0,15.45,15.36,14.93,15.33,DDD
2016-08-10,2682156.0,15.8,15.46,15.28,15.42,DDD
2016-08-11,2463627.0,15.74,15.4,15.21,15.6,DDD
2016-08-12,2237394.0,15.71,15.39,15.25,15.42,DDD
2016-08-15,2411186.0,15.85,15.7,15.41,15.51,DDD
2016-08-16,2301353.0,15.67,15.43,15.17,15.59,DDD
2016-08-17,2266810.0,15.53,15.23,15.06,15.35,DDD
2016-08-18,1438640.0,15.56,15.42,15.16,15.23,DDD
2016-08-19,1467655.0,15.465,15.38,15.2,15.3,DDD
2016-08-22,3436569.0,16.18,15.76,15.23,15.26,DDD
2016-08-23,2175954.0,15.99,15.8,15.52,15.77,DDD
2016-08-24,4199774.0,16.57,16.1,15.67,15.74,DDD
2016-08-25,2431003.0,16.53,16.03,15.87,16.15,DDD
2016-08-26,2158767.0,16.46,16.04,15.89,16.07,DDD
2016-08-29,1712216.0,16.41,16.06,15.97,16.41,DDD
2016-08-30,1713885.0,16.28,15.93,15.83,16.06,DDD
2016-08-31,5240462.0,15.99,14.5,14.421,15.72,DDD
2016-09-01,3478106.0,14.78,14.21,13.98,14.5,DDD
2016-09-02,3054921.0,15.18,14.92,14.23,14.31,DDD
2016-09-06,4490553.0,16.1704,15.75,15.44,15.55,DDD
2016-09-07,2568808.0,15.96,15.45,15.37,15.84,DDD
2016-09-08,2870140.0,16.19,15.9,15.31,15.45,DDD
2016-09-09,2853501.0,15.77,15.16,15.115,15.65,DDD
2016-09-12,2318282.0,15.57,15.49,14.74,14.86,DDD
2016-09-13,2391455.0,15.54,15.16,14.84,15.33,DDD
2016-09-14,1903990.0,15.67,15.55,15.09,15.16,DDD
2016-09-15,2097756.0,16.075,16.03,15.49,15.52,DDD
2016-09-16,2555125.0,16.25,15.82,15.79,15.93,DDD
2016-09-19,2552270.0,16.5,16.12,15.92,16.19,DDD
2016-09-20,2137270.0,16.385,16.12,16.04,16.12,DDD
2016-09-21,1820252.0,16.5,16.46,16.06,16.23,DDD
2016-09-22,2613418.0,16.83,16.64,16.47,16.55,DDD
2016-09-23,1740866.0,16.76,16.4,16.32,16.7,DDD
2016-09-26,3607779.0,17.31,16.86,16.3,16.4,DDD
2016-09-27,3124534.0,17.3,17.14,16.875,17.04,DDD
2016-09-28,2672071.0,17.7557,17.73,17.26,17.32,DDD
2016-09-29,2754175.0,17.93,17.66,17.45,17.75,DDD
2016-09-30,4383723.0,18.23,17.95,17.56,17.63,DDD
2016-10-03,2294262.0,18.27,17.93,17.72,18.01,DDD
2016-10-04,1765720.0,18.1,17.87,17.59,17.92,DDD
2016-10-05,3168740.0,18.51,18.32,17.79,17.79,DDD
2016-10-06,1842227.0,18.49,18.18,17.95,18.36,DDD
2016-10-07,2227140.0,18.18,17.53,17.44,18.11,DDD
2016-10-10,1241702.0,17.96,17.72,17.54,17.6,DDD
2016-10-11,3280645.0,17.86,16.69,16.59,17.59,DDD
2016-10-12,4034350.0,16.72,15.65,15.6,16.64,DDD
2016-10-13,5938123.0,15.32,14.82,14.74,14.96,DDD
2016-10-14,4811942.0,15.02,14.26,14.24,14.76,DDD
2016-10-17,5281309.0,14.49,14.26,13.73,14.27,DDD
2016-10-18,2650488.0,14.54,14.14,14.03,14.54,DDD
2016-10-19,3228465.0,14.69,14.33,14.0099,14.17,DDD
2016-10-20,2207587.0,14.47,13.98,13.94,14.28,DDD
2016-10-21,2361887.0,14.14,13.78,13.76,13.88,DDD
2016-10-24,2290274.0,14.23,14.11,13.82,13.89,DDD
2016-10-25,2490652.0,14.3399,13.91,13.85,14.2,DDD
2016-10-26,2238724.0,14.44,14.25,13.8705,13.91,DDD
2016-10-27,1999565.0,14.56,13.99,13.93,14.47,DDD
2016-10-28,2021804.0,14.195,13.76,13.625,14.06,DDD
2016-10-31,1904153.0,14.06,13.87,13.71,14.05,DDD
2016-11-01,2554983.0,14.14,13.48,13.26,13.79,DDD
2016-11-02,3149714.0,13.48,13.07,13.07,13.16,DDD
2016-11-03,6777524.0,14.4399,13.48,13.3,13.3,DDD
2016-11-04,6761600.0,14.0,12.45,12.34,14.0,DDD
2016-11-07,4637258.0,13.66,13.4,12.73,12.94,DDD
2016-11-08,2158945.0,13.63,13.56,13.1,13.42,DDD
2016-11-09,3178850.0,13.93,13.77,12.7,12.72,DDD
2016-11-10,3275014.0,14.64,14.06,13.89,14.0,DDD
2016-11-11,3674515.0,14.77,14.71,13.9,13.92,DDD
2016-11-14,3772102.0,14.83,14.3,13.91,14.68,DDD
2016-11-15,2634582.0,14.18,13.91,13.675,13.98,DDD
2016-11-16,1645566.0,14.1499,14.06,13.76,13.79,DDD
2016-11-17,1377701.0,14.19,14.08,13.8954,14.08,DDD
2016-11-18,1724443.0,14.4,14.25,14.0,14.09,DDD
2016-11-21,2103456.0,14.66,14.65,14.22,14.25,DDD
2016-11-22,1986142.0,14.94,14.92,14.51,14.69,DDD
2016-11-23,2063692.0,15.18,15.12,14.81,14.81,DDD
